brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years,price_per_kwh,efficiency,power_to_weight,cluster
Hyundai,Ioniq 6,2025,Performance,86045.75,96.3,314.0,180.3,3.08,200.0,1000.0,905.0,RWD,7,Hatchback,27.4,1500.0,5,0,South Korea,Premium,124864.0,3.57,4.0,893.5176531671859,3.260643821391485,666.6666666666666,0
Kia,EV9,2024,Standard,66876.75,66.7,236.0,96.7,6.02,164.0,754.0,647.0,RWD,5,SUV,66.8,1980.0,4,2,South Korea,Premium,117514.0,3.53,3.0,1002.6499250374812,3.538230884557721,380.8080808080808,1
Tesla,Model Y,2025,Performance,135780.6,105.2,383.0,344.9,4.02,196.0,997.0,903.0,AWD,5,Truck,69.0,2015.0,5,2,US,Luxury,385830.5,4.12,5.0,1290.690114068441,3.640684410646388,494.7890818858561,0
Kia,Niro EV,2024,Performance,105946.66,79.3,245.0,222.0,3.24,200.0,1000.0,919.0,RWD,7,Coupe,15.9,1701.0,4,1,South Korea,Luxury,147459.0,3.43,3.0,1336.023455233291,3.08953341740227,587.8894767783656,0
Tesla,Model X,2025,Base,110771.86,52.9,177.0,216.7,6.55,151.0,826.0,728.0,AWD,5,SUV,35.7,1959.0,4,2,US,Luxury,179640.0,3.42,5.0,2093.986011342155,3.34593572778828,421.6436957631445,1
Tesla,Cybertruck,2024,Performance,42827.24,89.9,311.0,240.1,2.94,200.0,263.0,241.0,AWD,5,Truck,55.5,2122.0,4,3,US,Mid-range,133489.0,3.82,5.0,476.3875417130144,3.459399332591768,123.9396795475966,0
Toyota,bZ Compact SUV,2020,Long Range,70748.34,94.2,335.0,104.7,5.66,169.0,818.0,760.0,AWD,5,SUV,66.5,2056.0,5,0,Japan,Premium,2261.0,3.72,4.0,751.0439490445859,3.5562632696390657,397.8599221789883,0
Fisker,Ronin,2026,Base,50395.94,63.9,243.0,106.1,7.33,147.0,334.0,275.0,FWD,7,Sedan,34.5,1500.0,5,1,US,Mid-range,11950.0,3.48,4.0,788.6688575899844,3.802816901408451,222.66666666666669,1
Ford,E-Transit,2025,Performance,69597.51,106.2,361.0,219.0,3.88,192.0,783.0,728.0,AWD,5,Sedan,38.9,1500.0,5,1,US,Premium,24574.0,3.79,3.0,655.3437853107343,3.39924670433145,522.0,0
BYD,Leaf 50X,2025,Standard,31434.26,60.6,229.0,98.1,7.69,136.0,285.0,269.0,RWD,5,Hatchback,31.5,1643.0,4,0,China,Budget,242953.0,3.29,4.0,518.7171617161716,3.778877887788779,173.4631771150335,1
Tesla,Model X,2023,Base,109503.65,47.9,155.0,304.7,6.19,164.0,825.0,733.0,RWD,5,Van,72.8,1500.0,5,3,US,Luxury,174834.0,3.59,4.0,2286.08872651357,3.2359081419624216,550.0,1
BMW,i7,2025,Performance,156773.89,81.4,266.0,182.2,4.2,190.0,1000.0,908.0,AWD,5,Truck,76.8,2499.0,5,1,Germany,Luxury,58126.0,3.6,5.0,1925.9691646191648,3.2678132678132674,400.1600640256102,0
Volkswagen,ID.3,2021,Long Range,52966.98,96.8,311.0,134.7,5.8,171.0,460.0,436.0,RWD,5,Coupe,20.6,1853.0,5,0,Germany,Mid-range,232633.0,3.55,5.0,547.1795454545455,3.212809917355372,248.246087425796,1
Tesla,Cybertruck,2024,Standard,121805.3,58.9,204.0,274.6,5.61,173.0,850.0,776.0,FWD,7,Truck,56.2,2502.0,4,3,US,Luxury,225373.0,3.75,5.0,2068.001697792869,3.4634974533106964,339.72821742605913,0
Hyundai,Ioniq 6,2025,Standard,69769.46,63.2,212.0,79.0,7.79,133.0,890.0,734.0,FWD,5,Hatchback,28.1,1500.0,4,0,South Korea,Premium,50147.0,3.21,4.0,1103.9471518987343,3.354430379746835,593.3333333333334,1
Tesla,Model X,2024,Long Range,117517.98,101.0,350.0,245.4,4.65,186.0,881.0,810.0,AWD,5,Truck,80.0,2225.0,5,2,US,Luxury,122440.0,3.96,5.0,1163.5443564356435,3.4653465346534653,395.9550561797753,0
Audi,e-tron GT,2025,Standard,53762.11,52.1,156.0,112.8,6.45,154.0,207.0,200.0,FWD,5,Coupe,17.6,1899.0,4,2,Germany,Mid-range,69650.0,3.68,6.5,1031.902303262956,2.9942418426103647,109.00473933649288,1
BYD,Max,2024,Base,24029.61,45.6,153.0,53.1,5.16,177.0,211.0,200.0,FWD,5,Sedan,32.5,1669.0,5,0,China,Budget,157077.0,3.46,3.0,526.9651315789474,3.3552631578947367,126.42300778909528,1
BMW,i3,2024,Long Range,120387.4,79.4,285.0,134.3,4.2,193.0,1000.0,988.0,RWD,5,Truck,62.9,2464.0,4,2,Germany,Luxury,62864.0,3.27,6.5,1516.2141057934507,3.5894206549118386,405.8441558441559,0
BYD,Atto 3,2025,Base,26682.38,53.9,199.0,117.3,7.39,137.0,274.0,206.0,FWD,7,Truck,68.8,2367.0,4,0,China,Budget,158602.0,3.26,3.0,495.034879406308,3.692022263450835,115.75834389522602,1
Hyundai,Ioniq,2025,Base,45100.09,79.5,257.0,85.6,5.25,174.0,478.0,396.0,AWD,5,Hatchback,39.6,1705.0,4,1,South Korea,Mid-range,128526.0,3.61,4.0,567.2967295597484,3.2327044025157234,280.35190615835774,1
Kia,Sportage EV,2023,Standard,77484.79,81.2,284.0,147.7,5.31,169.0,923.0,832.0,FWD,5,SUV,55.4,2017.0,3,1,South Korea,Premium,101678.0,3.34,4.0,954.2461822660098,3.497536945812808,457.6103123450669,0
Tesla,Model Y,2023,Standard,98108.77,46.5,150.0,338.8,5.21,174.0,760.0,665.0,FWD,5,SUV,44.4,2146.0,5,2,US,Premium,385830.5,3.33,4.0,2109.8660215053765,3.225806451612903,354.14725069897486,1
Fisker,Ronin,2020,Performance,143106.79,75.3,272.0,170.3,3.68,197.0,1000.0,935.0,AWD,5,Hatchback,38.4,1705.0,4,1,US,Luxury,18708.0,3.53,4.0,1900.4885790172648,3.612217795484728,586.5102639296188,0
Ford,F-150 Lightning,2026,Base,52266.72,73.4,268.0,58.4,7.42,137.0,514.0,472.0,FWD,2,Truck,50.3,2850.0,5,0,US,Mid-range,62843.0,3.72,3.0,712.0806539509537,3.651226158038147,180.35087719298247,1
NIO,ET6,2025,Performance,60624.73,82.4,278.0,174.8,2.63,200.0,476.0,420.0,RWD,7,SUV,48.0,2138.0,4,0,China,Mid-range,8857.0,3.49,4.0,735.7370145631068,3.37378640776699,222.6379794200187,0
Audi,e-tron GT,2025,Base,63332.23,84.4,310.0,92.7,5.62,162.0,284.0,288.0,RWD,7,Coupe,31.7,1565.0,5,1,Germany,Mid-range,62327.0,3.85,6.0,750.3818720379147,3.672985781990521,181.46964856230036,1
Rivian,R3,2024,Base,66816.36,69.9,247.0,118.5,5.33,171.0,150.0,200.0,AWD,5,Sedan,23.9,1757.0,5,0,US,Premium,27456.0,3.39,6.0,955.8849785407724,3.533619456366237,85.37279453614114,1
Tesla,Cybertruck,2025,Performance,117415.98,78.1,263.0,215.8,2.94,200.0,927.0,847.0,AWD,5,Truck,61.7,2353.0,5,2,US,Luxury,183531.0,3.7,5.0,1503.405633802817,3.367477592829706,393.9651508712282,0
Tesla,Model 3,2025,Standard,71316.86,73.9,249.0,282.0,6.73,144.0,502.0,509.0,RWD,5,SUV,52.9,2053.0,5,3,US,Premium,242716.0,3.7,5.0,965.0454668470906,3.3694181326116373,244.52021432050657,1
BYD,Leaf 50X,2025,Base,59005.52,58.4,200.0,121.5,7.64,137.0,667.0,633.0,RWD,5,Van,76.9,1500.0,5,0,China,Mid-range,127516.0,3.31,5.0,1010.3684931506848,3.4246575342465757,444.6666666666666,1
Volkswagen,ID. Aero,2024,Long Range,42431.05,88.6,306.0,104.2,5.94,166.0,337.0,286.0,AWD,5,Coupe,39.7,1590.0,3,1,Germany,Mid-range,260840.0,3.53,4.0,478.905756207675,3.45372460496614,211.9496855345912,1
BYD,Dolphin,2024,Performance,30671.06,87.5,303.0,233.1,4.18,190.0,345.0,269.0,AWD,5,Sedan,29.5,1815.0,5,0,China,Budget,201621.0,3.28,4.0,350.5264,3.462857142857143,190.0826446280992,0
Mercedes,EQC,2025,Performance,167624.71375,78.5,277.0,225.0,4.32,185.0,1000.0,943.0,RWD,7,Coupe,28.5,1500.0,4,2,Germany,Luxury,43172.0,4.0,6.5,2135.3466719745225,3.5286624203821657,666.6666666666666,0
Volkswagen,ID.4,2023,Long Range,94330.19,105.4,383.0,105.8,5.17,177.0,1000.0,868.0,FWD,7,Sedan,21.8,1500.0,5,1,Germany,Premium,232451.0,3.95,3.0,894.973339658444,3.633776091081594,666.6666666666666,0
BYD,Dolphin,2024,Premium,83518.44,77.1,267.0,148.3,7.36,146.0,954.0,884.0,AWD,5,Coupe,21.5,1652.0,3,1,China,Premium,148454.0,3.28,5.0,1083.2482490272375,3.463035019455253,577.4818401937047,1
Kia,Niro EV,2024,Premium,68436.66,70.0,249.0,131.3,7.12,141.0,790.0,742.0,AWD,5,Coupe,23.0,1556.0,3,0,South Korea,Premium,81219.0,3.63,3.0,977.6665714285716,3.557142857142857,507.71208226221074,1
Ford,Explorer EV,2024,Long Range,66402.61,90.5,334.0,96.1,5.88,162.0,752.0,677.0,RWD,5,Van,67.5,1894.0,5,1,US,Premium,36517.0,3.69,3.0,733.730497237569,3.6906077348066297,397.0432946145724,0
Tesla,Model X,2024,Performance,42932.18,99.0,356.0,209.1,3.87,192.0,227.0,200.0,RWD,7,Hatchback,27.2,1500.0,5,2,US,Mid-range,238196.0,4.0,5.0,433.6583838383838,3.595959595959596,151.33333333333331,0
Porsche,Macan Electric,2022,Long Range,101897.93,76.1,254.0,291.0,5.76,163.0,335.0,326.0,AWD,7,Truck,72.1,2679.0,5,0,Germany,Luxury,26972.0,3.68,6.5,1339.000394218134,3.337713534822602,125.04665920119449,1
Ford,E-Transit,2025,Premium,45539.59,55.1,198.0,143.8,5.26,173.0,379.0,335.0,AWD,5,Hatchback,16.4,1785.0,5,0,US,Mid-range,26865.0,3.0,3.0,826.489836660617,3.593466424682396,212.3249299719888,1
Tesla,Model S,2020,Performance,102900.51,74.1,231.0,323.4,2.61,200.0,708.0,567.0,RWD,5,Truck,79.8,2284.0,3,2,US,Luxury,184383.0,3.8,5.0,1388.6708502024292,3.1174089068825914,309.98248686514887,0
GM/Chevrolet,Bolt EUV,2025,Performance,102049.38,116.6,395.0,163.2,4.21,192.0,1000.0,893.0,AWD,5,Van,72.1,1834.0,4,1,US,Luxury,7957.0,4.16,5.0,875.209090909091,3.3876500857632936,545.2562704471101,0
GM/Chevrolet,Equinox EV,2024,Long Range,78668.52,102.9,368.0,72.1,4.44,179.0,1000.0,916.0,AWD,5,SUV,65.5,2096.0,5,0,US,Premium,14020.0,3.97,4.0,764.5142857142857,3.576287657920311,477.0992366412214,0
Ford,Mustang Mach-E,2024,Standard,79438.2,82.5,299.0,128.6,6.77,149.0,967.0,916.0,RWD,5,Van,80.0,1521.0,5,0,US,Premium,21827.0,3.81,3.0,962.8872727272728,3.624242424242424,635.7659434582511,0
Tesla,Model 3,2024,Performance,139025.28,93.4,320.0,293.9,3.06,200.0,995.0,917.0,AWD,5,Coupe,17.8,1500.0,4,2,US,Luxury,220216.0,4.07,5.0,1488.493361884368,3.426124197002141,663.3333333333334,0
Volkswagen,ID.3,2025,Base,38889.44,65.0,231.0,142.7,6.1,160.0,313.0,257.0,FWD,5,Sedan,20.9,1571.0,5,1,Germany,Mid-range,293320.0,3.41,3.0,598.299076923077,3.5538461538461537,199.23615531508597,1
Tesla,Model 3,2025,Performance,167624.71375,117.4,416.0,241.6,3.06,200.0,1000.0,931.0,RWD,7,SUV,44.7,1923.0,5,2,US,Luxury,248754.0,4.09,5.0,1427.8084646507666,3.543441226575809,520.0208008320333,0
Mercedes,GLE EV,2023,Standard,144581.79,42.8,150.0,146.8,6.34,156.0,852.0,767.0,FWD,7,SUV,57.7,1857.0,4,1,Germany,Luxury,76491.0,3.42,6.5,3378.079205607477,3.504672897196262,458.8045234248788,1
BMW,iX,2023,Premium,86081.93,72.3,247.0,125.7,5.89,166.0,612.0,541.0,AWD,7,Truck,60.3,2745.0,4,2,Germany,Premium,51887.0,3.42,6.0,1190.621438450899,3.416320885200553,222.9508196721312,1
BYD,Max,2026,Performance,101561.3,101.6,329.0,185.5,2.59,200.0,1000.0,906.0,RWD,5,Truck,62.3,2633.0,3,0,China,Luxury,216998.0,3.69,3.0,999.619094488189,3.2381889763779528,379.794910748196,0
Tesla,Cybertruck,2024,Long Range,158925.9,82.5,291.0,310.8,4.06,186.0,1000.0,962.0,AWD,5,Truck,67.0,2567.0,5,3,US,Luxury,138950.0,3.85,6.0,1926.3745454545451,3.527272727272728,389.5597974289053,0
BYD,Yuan Plus,2023,Standard,21523.03,42.4,150.0,72.7,6.84,157.0,207.0,200.0,FWD,7,Sedan,16.9,1621.0,4,0,China,Budget,183596.0,3.23,3.0,507.6186320754717,3.537735849056604,127.69895126465144,1
BYD,Leaf 50X,2024,Premium,100360.19,50.0,193.0,132.4,6.15,155.0,1000.0,888.0,RWD,5,Van,61.5,1876.0,5,0,China,Luxury,137465.0,3.1,4.0,2007.2038,3.86,533.0490405117271,1
GM/Chevrolet,Bolt EUV,2026,Base,63696.78,78.0,262.0,101.2,7.32,136.0,835.0,746.0,FWD,5,Truck,62.1,2581.0,5,0,US,Mid-range,8032.0,3.56,3.0,816.6253846153846,3.358974358974359,323.5180162727625,1
BMW,i3,2024,Standard,84405.92,52.5,173.0,105.6,5.09,169.0,612.0,505.0,RWD,5,Truck,57.9,2679.0,3,1,Germany,Premium,42777.0,3.19,6.0,1607.7318095238095,3.295238095238095,228.4434490481523,1
Audi,Q6 e-tron,2024,Standard,73910.79,41.9,150.0,94.4,7.68,142.0,431.0,377.0,FWD,5,SUV,53.0,2121.0,4,1,Germany,Premium,36319.0,3.0,5.0,1763.9806682577564,3.579952267303103,203.2060348892032,1
Hyundai,Ioniq 5,2025,Performance,57904.84,80.5,286.0,194.1,2.76,200.0,704.0,589.0,AWD,7,Sedan,30.1,1792.0,4,2,South Korea,Mid-range,68118.0,3.73,4.0,719.3147826086956,3.5527950310559007,392.8571428571428,0
Tesla,Cybertruck,2024,Base,38394.15,47.7,189.0,334.7,5.25,169.0,227.0,200.0,AWD,7,Truck,68.1,2403.0,3,3,US,Mid-range,246203.0,3.51,4.0,804.9088050314465,3.962264150943396,94.46525176862257,1
GM/Chevrolet,Bolt EUV,2026,Standard,71136.28,49.6,171.0,135.8,7.19,142.0,938.0,820.0,FWD,5,Hatchback,39.3,1500.0,5,0,US,Premium,27175.0,3.31,4.0,1434.199193548387,3.44758064516129,625.3333333333333,1
GM/Chevrolet,Blazer EV,2024,Long Range,76560.48,82.9,300.0,143.0,4.19,184.0,1000.0,882.0,RWD,5,Van,75.0,1598.0,4,0,US,Premium,12139.0,3.5,4.0,923.5281061519902,3.618817852834741,625.7822277847309,0
Kia,Niro EV,2023,Premium,92594.29,74.2,257.0,76.8,6.08,158.0,1000.0,874.0,AWD,5,Coupe,23.4,1506.0,5,0,South Korea,Premium,83731.0,3.6,4.0,1247.901482479784,3.463611859838275,664.0106241699867,0
Ford,Mustang Mach-E,2023,Long Range,76072.0,105.6,363.0,104.6,4.21,189.0,891.0,791.0,FWD,5,Hatchback,21.8,1734.0,5,0,US,Premium,48060.0,4.04,4.0,720.3787878787879,3.4375,513.840830449827,0
Hyundai,Ioniq,2024,Standard,44654.99,65.4,223.0,143.4,7.07,146.0,440.0,435.0,RWD,5,SUV,43.9,1844.0,4,1,South Korea,Mid-range,128091.0,3.0,4.0,682.7980122324158,3.409785932721712,238.6117136659436,1
Volkswagen,ID.4,2023,Performance,80921.96,108.9,399.0,199.3,3.77,198.0,878.0,828.0,RWD,5,Hatchback,29.1,1500.0,3,1,Germany,Premium,234095.0,3.86,5.0,743.0850321395776,3.663911845730028,585.3333333333334,0
Tesla,Model X,2023,Performance,167624.71375,106.3,348.0,325.6,3.73,198.0,1000.0,915.0,RWD,5,Coupe,31.5,1782.0,3,3,US,Luxury,148529.0,4.260000000000001,5.0,1576.9022930385702,3.2737535277516465,561.1672278338945,0
BMW,iX,2024,Performance,84125.95,98.9,363.0,225.3,4.25,192.0,658.0,592.0,RWD,5,Hatchback,34.2,1588.0,5,1,Germany,Premium,33561.0,3.47,6.5,850.6162790697674,3.670374115267947,414.3576826196473,0
BYD,Qin,2022,Standard,37515.42,52.5,194.0,133.2,7.93,137.0,360.0,323.0,AWD,5,Truck,51.2,2894.0,4,0,China,Mid-range,192045.0,3.31,5.0,714.5794285714286,3.695238095238096,124.3953006219765,1
Hyundai,Kona Electric,2022,Long Range,84513.62,109.9,400.0,83.7,5.88,165.0,1000.0,907.0,RWD,7,Coupe,32.6,1784.0,4,1,South Korea,Premium,95418.0,3.69,4.0,769.0047315741582,3.6396724294813465,560.5381165919282,0
Audi,e-tron,2025,Premium,80343.06,66.3,231.0,56.2,6.02,161.0,459.0,414.0,RWD,7,Van,67.1,1500.0,5,1,Germany,Premium,43236.0,3.38,6.5,1211.8108597285068,3.484162895927602,306.0,1
Volkswagen,ID.3,2024,Performance,50097.49,98.3,341.0,179.6,2.79,200.0,436.0,358.0,FWD,5,Van,75.1,1780.0,3,0,Germany,Mid-range,263009.0,3.76,5.0,509.6387589013225,3.468972533062055,244.9438202247191,0
GM/Chevrolet,Bolt EUV,2024,Premium,43668.28,79.4,284.0,108.1,7.81,120.0,453.0,469.0,RWD,7,Truck,60.3,2572.0,4,1,US,Mid-range,1211.0,3.34,3.0,549.9783375314861,3.5768261964735517,176.1275272161742,1
BYD,Qin,2025,Long Range,61700.64,101.3,351.0,69.9,4.53,175.0,649.0,584.0,AWD,7,SUV,62.5,1726.0,5,1,China,Mid-range,190763.0,4.0,3.0,609.0882527147088,3.464955577492596,376.0139049826188,0
Tesla,Model 3,2025,Premium,152706.13,77.1,260.0,325.6,6.63,155.0,1000.0,857.0,AWD,5,SUV,42.1,1903.0,4,2,US,Luxury,172494.0,3.77,5.0,1980.624254215305,3.3722438391699097,525.4860746190226,0
BYD,Max,2023,Performance,26461.18,71.3,265.0,249.5,2.9,200.0,236.0,202.0,RWD,7,SUV,41.5,2379.0,3,2,China,Budget,226324.0,3.6,3.0,371.1245441795232,3.716690042075737,99.20134510298443,0
Tesla,Model 3,2026,Base,36489.36,45.5,150.0,253.7,7.97,131.0,247.0,226.0,AWD,5,Van,65.7,1500.0,3,2,US,Mid-range,214895.0,3.58,5.0,801.963956043956,3.2967032967032965,164.66666666666666,1
Rivian,R3,2021,Base,60978.95,84.5,304.0,61.5,6.47,153.0,150.0,200.0,FWD,5,Hatchback,16.8,1500.0,5,2,US,Mid-range,7599.0,3.41,6.0,721.6443786982248,3.5976331360946747,100.0,1
Ford,F-150 Lightning,2025,Base,57536.04,73.3,254.0,69.5,7.43,139.0,619.0,529.0,FWD,4,Truck,74.1,2341.0,4,1,US,Mid-range,44164.0,3.54,4.0,784.9391541609823,3.465211459754434,264.41691584792824,1
BMW,i3,2025,Performance,162822.68,70.6,255.0,193.4,2.76,200.0,1000.0,867.0,AWD,7,Truck,62.6,2729.0,5,1,Germany,Luxury,48304.0,3.22,6.5,2306.270254957507,3.6118980169971673,366.43459142543054,0
Mercedes,EQG,2023,Long Range,163924.89,83.9,285.0,119.9,4.66,180.0,1000.0,946.0,AWD,5,Coupe,27.2,1540.0,4,1,Germany,Luxury,50822.0,3.77,6.0,1953.812753277712,3.3969010727056017,649.3506493506493,0
Ford,F-150 Lightning,2024,Long Range,54997.37,100.7,353.0,144.1,4.35,183.0,523.0,469.0,FWD,2,Truck,60.8,2427.0,5,0,US,Mid-range,49671.0,3.66,3.0,546.1506454816287,3.5054617676266138,215.492377420684,0
Tesla,Model Y,2026,Standard,96644.91,76.4,244.0,238.4,5.98,164.0,684.0,604.0,RWD,5,Sedan,28.9,1500.0,5,2,US,Premium,385830.5,4.03,4.0,1264.9857329842932,3.1937172774869107,456.0,1
Audi,e-tron,2025,Standard,72972.25,58.0,223.0,129.9,7.8,139.0,409.0,398.0,FWD,7,SUV,63.6,1928.0,5,1,Germany,Premium,23427.0,3.35,5.0,1258.1422413793102,3.844827586206896,212.1369294605809,1
Ford,Mustang Mach-E,2023,Base,59885.41,65.9,231.0,81.2,6.28,148.0,667.0,623.0,AWD,5,Truck,65.7,2597.0,4,1,US,Mid-range,28589.0,3.5,4.0,908.7315629742031,3.5053110773899845,256.83480939545626,1
Audi,Q6 e-tron,2024,Long Range,130606.12,106.6,385.0,58.2,5.2,169.0,1000.0,873.0,RWD,7,SUV,61.8,2080.0,5,2,Germany,Luxury,39897.0,3.7,6.5,1225.1981238273922,3.611632270168856,480.7692307692308,0
